"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.229050520E-1,-1.555334684E-2,2.362912297E-1,9.939187050E0,9.942007577E0
6.254001040E-1,-4.905286431E-2,2.697907388E-1,1.000618649E1,1.000994312E1
6.278951560E-1,-2.512463741E-2,2.362912297E-1,9.943972588E0,9.946811329E0
6.303902090E-1,-4.905286431E-2,2.697907388E-1,9.967901230E0,9.971672285E0
6.328852610E-1,-5.383851007E-2,2.554338276E-1,9.948758125E0,9.952182337E0
6.353799480E-1,-4.426721856E-2,2.410768867E-1,9.967901230E0,9.970914330E0
6.378684900E-1,-6.819544733E-2,3.080759048E-1,9.934401512E0,9.939411189E0
6.403569790E-1,-3.948157281E-2,2.362912297E-1,9.958329201E0,9.961210409E0
6.428516670E-1,-5.383851007E-2,2.650051117E-1,9.972686768E0,9.976352423E0
6.453463540E-1,-2.991028316E-2,2.793620527E-1,9.915258408E0,9.919238230E0
6.478410420E-1,-6.819544733E-2,2.650051117E-1,9.948758125E0,9.952520614E0
6.503357290E-1,-8.733802289E-2,2.506481707E-1,9.996614456E0,1.000013765E1
6.528304690E-1,-4.905286431E-2,2.410768867E-1,9.982257843E0,9.985288974E0
6.553253650E-1,-3.948157281E-2,2.602194548E-1,9.977472305E0,9.980943170E0
6.578231250E-1,-5.862415582E-2,2.650051117E-1,9.991828918E0,9.995514476E0
6.603208860E-1,-4.905286431E-2,2.650051117E-1,9.943972588E0,9.947624074E0
6.628157810E-1,-2.991028316E-2,2.697907388E-1,9.948758125E0,9.952460495E0
6.653106250E-1,-6.340979785E-2,2.410768867E-1,9.963115692E0,9.966233650E0
6.678054170E-1,-5.383851007E-2,2.171486616E-1,9.982257843E0,9.984764583E0
6.703003130E-1,-3.469592705E-2,2.554338276E-1,9.967901230E0,9.971233884E0
6.727952090E-1,-4.426721856E-2,2.506481707E-1,9.967901230E0,9.971150336E0
6.752906250E-1,-4.426721856E-2,2.697907388E-1,9.977472305E0,9.981217372E0
6.777954170E-1,-4.905286431E-2,2.315055877E-1,9.982257843E0,9.985062477E0
6.803002090E-1,-6.340979785E-2,2.219343036E-1,9.991828918E0,9.994494523E0
6.827956250E-1,-5.383851007E-2,3.032902777E-1,1.003011417E1,1.003484299E1
6.852909900E-1,-9.212367237E-2,2.697907388E-1,9.987043381E0,9.991111515E0
6.877863540E-1,-4.426721856E-2,2.650051117E-1,9.934401512E0,9.938034046E0
6.902817710E-1,-5.383851007E-2,2.697907388E-1,9.948758125E0,9.952561171E0
6.927771880E-1,-8.255238086E-2,2.554338276E-1,9.958329201E0,9.961946688E0
6.952725520E-1,-3.948157281E-2,2.697907388E-1,9.948758125E0,9.952493862E0
6.977677090E-1,-4.426721856E-2,2.650051117E-1,9.972686768E0,9.976305361E0
7.002539060E-1,-7.298108935E-2,2.985046208E-1,9.924830437E0,9.929586620E0
7.027490630E-1,-3.948157281E-2,2.554338276E-1,9.929615974E0,9.932979343E0
7.052442190E-1,-6.340979785E-2,2.889333367E-1,9.872187614E0,9.876618428E0
7.077393230E-1,-4.905286431E-2,2.745763958E-1,9.915258408E0,9.919180796E0
7.102344790E-1,-7.776673883E-2,2.793620527E-1,9.943972588E0,9.948199920E0
7.127296360E-1,-8.255238086E-2,2.889333367E-1,9.915258408E0,9.919810818E0
7.152247400E-1,-7.776673883E-2,3.080759048E-1,9.809974670E0,9.815119024E0
7.177191670E-1,-6.340979785E-2,2.602194548E-1,9.857831001E0,9.861468806E0
7.201885420E-1,-7.298108935E-2,2.602194548E-1,9.876974106E0,9.880670923E0
7.226829690E-1,-7.298108935E-2,2.458625287E-1,9.934401512E0,9.937711408E0
7.251773960E-1,-1.555334684E-2,2.889333367E-1,9.915258408E0,9.919479506E0
7.276718230E-1,-5.862415582E-2,2.602194548E-1,9.924830437E0,9.928414282E0
7.301662500E-1,-9.212367237E-2,3.032902777E-1,9.929615974E0,9.934673883E0
